result,total_moves,opening,winner,white_skill,black_skill,white_castled,black_castled,white_sacrifices,black_sacrifices,w_knight_to_bishop,b_knight_to_bishop,white_piece_activity,black_piece_activity,eval_after_move_15
0-1,57,King' s Pawn Opening,black,18,18,True,True,12,34,1.2758620689655171,0.2982456140350877,28.910714285714285,34.50892857142857,-0.26
1-0,65,English Opening,white,6,6,True,False,18,6,1.3877551020408163,1.3404255319148937,35.57364341085271,34.25581395348837,0.81
0-1,43,Bird's Opening,black,6,6,True,True,10,16,1.1666666666666667,0.8857142857142858,33.357142857142854,34.392857142857146,-0.09
0-1,60,Benko's Opening,black,8,8,True,True,14,22,0.8857142857142858,1.6551724137931034,29.39830508474576,36.23728813559322,-0.26
0-1,53,Bird's Opening,black,8,8,False,True,8,16,0.8431372549019609,0.8478260869565217,29.125,36.625,-0.61
1-0,46,Larsen's Opening,white,6,6,True,True,4,16,0.9444444444444445,1.0357142857142856,34.714285714285715,29.175824175824175,0.8
0-1,42,King' s Pawn Opening,black,11,11,True,True,2,18,1.1333333333333333,1.0294117647058825,31.79268292682927,37.0609756097561,-0.08
0-1,46,Larsen's Opening,black,19,19,True,True,10,16,0.7234042553191489,1.3529411764705883,31.744444444444444,32.233333333333334,-0.01
0-1,50,Bird's Opening,black,12,12,True,False,4,24,1.0263157894736843,1.576923076923077,32.183673469387756,34.816326530612244,-0.56
1-0,53,Dunst Opening,white,20,20,True,True,40,28,0.8292682926829268,1.0,37.67619047619048,33.06666666666667,0.0
1-0,48,Sicilian Defense,white,6,6,True,True,2,2,0.3125,3.4285714285714284,33.07368421052632,27.189473684210526,-0.03
0-1,97,Reti Opening,black,20,20,True,True,16,26,0.8181818181818182,0.6666666666666666,25.953125,29.546875,0.17
1/2-1/2,95,Reti Opening,draw,10,10,True,True,32,16,0.22,0.8163265306122448,34.613756613756614,28.96825396825397,0.76
0-1,110,Reti Opening,black,15,15,True,False,10,22,0.8055555555555556,0.3148148148148148,26.51834862385321,28.954128440366972,0.18
0-1,76,Reti Opening,black,13,13,True,True,6,34,1.607142857142857,1.0,23.24,35.68,0.67
1-0,75,Larsen's Opening,white,14,14,False,False,44,10,1.1818181818181819,1.12,31.87248322147651,21.70469798657718,0.83
1-0,29,Benko's Opening,white,13,13,True,True,10,10,0.8571428571428571,0.7812500000000001,31.94736842105263,34.719298245614034,-0.39
0-1,61,King' s Pawn Opening,black,16,16,False,True,24,16,0.36764705882352944,0.5185185185185185,35.708333333333336,32.675,1.96
0-1,52,Benko's Opening,black,17,17,False,True,4,22,0.6037735849056604,1.4375,32.705882352941174,35.35294117647059,1.01
1-0,44,Queen's Pawn Opening,white,6,6,True,True,6,6,0.5517241379310345,0.4594594594594594,36.28735632183908,31.735632183908045,3.43
1/2-1/2,166,King' s Pawn Opening,draw,7,7,True,True,48,22,0.3859649122807018,0.3859649122807018,24.596969696969698,17.848484848484848,0.44
0-1,34,Bird's Opening,black,10,10,True,True,4,16,0.6969696969696969,0.6969696969696969,33.68181818181818,36.5,-0.89
1-0,101,"English, Agincourt Defense",white,10,10,False,False,46,34,0.7727272727272727,0.2941176470588235,31.059701492537314,25.99502487562189,2.17
0-1,59,Bird's Opening,black,12,12,False,False,2,8,1.2727272727272727,0.4761904761904762,28.71551724137931,35.75,-1.9
0-1,91,Reti Opening,black,17,17,True,True,12,42,0.5909090909090909,0.4893617021276596,23.06111111111111,30.038888888888888,-0.44
0-1,57,Bird's Opening,black,20,20,False,True,24,38,1.0500000000000003,1.1111111111111112,27.839285714285715,33.098214285714285,-0.36
1-0,34,Benko's Opening,white,9,9,True,False,26,4,0.6486486486486486,1.3333333333333333,37.149253731343286,30.955223880597014,0.81
0-1,42,Bird's Opening,black,20,20,False,True,12,24,0.9142857142857143,0.3392857142857143,33.28048780487805,38.48780487804878,0.33
1-0,64,Dunst Opening,white,6,6,True,False,8,16,0.3859649122807018,0.5185185185185186,32.77952755905512,27.968503937007874,0.22
0-1,82,Larsen's Opening,black,17,17,True,False,4,18,0.7358490566037735,4.5,22.21604938271605,26.98148148148148,0.67
1-0,98,King' s Pawn Opening,white,7,7,True,True,16,6,1.180952380952381,0.9803921568627452,33.91282051282051,19.076923076923077,0.47
0-1,49,Larsen's Opening,black,7,7,False,True,14,18,1.9130434782608696,1.0512820512820513,24.916666666666668,33.916666666666664,-0.07
1-0,74,Benko's Opening,white,19,19,True,True,20,6,1.1956521739130432,0.6896551724137931,28.632653061224488,24.462585034013607,-0.53
1-0,47,English Opening,white,16,16,True,True,18,6,0.6170212765957447,0.7307692307692307,37.58064516129032,29.43010752688172,0.72
1-0,43,Benko's Opening,white,20,20,True,True,2,20,0.5370370370370371,1.8275862068965518,37.54117647058823,36.2,0.65
1-0,74,Queen's Pawn Opening,white,9,9,True,False,32,18,1.6666666666666667,1.6666666666666667,27.891156462585034,26.006802721088434,0.37
0-1,48,Dunst Opening,black,11,11,True,False,14,18,0.5714285714285714,0.9,33.765957446808514,34.287234042553195,-1.98
1-0,71,Larsen's Opening,white,19,19,False,True,16,10,0.2127659574468085,0.3,34.241134751773046,22.141843971631207,1.11
0-1,35,Benko's Opening,black,9,9,False,False,14,8,0.7000000000000001,0.911764705882353,32.220588235294116,36.779411764705884,-2.27
1-0,51,Bird's Opening,white,12,12,True,True,6,10,0.23728813559322032,0.2542372881355932,36.118811881188115,36.24752475247525,-0.88
0-1,101,Larsen's Opening,black,16,16,True,True,16,20,1.7575757575757576,1.185714285714286,23.17,27.85,-1.08
0-1,46,King' s Pawn Opening,black,16,16,True,True,22,24,0.9705882352941178,1.027777777777778,32.58888888888889,35.71111111111111,0.91
1-0,58,Dunst Opening,white,9,9,True,True,18,20,0.3636363636363636,1.0333333333333332,37.391304347826086,31.330434782608695,-1.56
1-0,35,Queen's Pawn Opening,white,19,19,True,True,20,20,1.0769230769230769,1.0465116279069766,38.17391304347826,39.15942028985507,1.65
1-0,55,Bird's Opening,white,18,18,True,True,22,26,0.875,0.9791666666666665,34.37614678899082,29.009174311926607,-0.11
0-1,103,Dunst Opening,black,20,20,True,True,12,10,1.6129032258064517,0.45121951219512196,28.269607843137255,32.73039215686274,-0.25
1-0,41,Queen's Pawn Opening,white,18,18,False,False,10,14,0.5625,0.75,35.93827160493827,27.185185185185187,5.68
0-1,74,Larsen's Opening,black,10,10,True,True,4,18,3.041666666666667,0.6470588235294118,23.424657534246574,33.07534246575342,-0.77
0-1,58,Queen's Pawn Opening,black,8,8,True,False,12,12,0.6666666666666666,0.8936170212765958,30.657894736842106,30.263157894736842,-0.8
0-1,64,Bird's Opening,black,11,11,True,True,16,16,0.6818181818181818,1.2439024390243902,26.126984126984127,36.76984126984127,0.19
1-0,67,Benko's Opening,white,14,14,True,True,30,16,0.3472222222222222,0.6949152542372882,35.73684210526316,25.86466165413534,1.11
0-1,51,Bird's Opening,black,10,10,False,False,2,14,1.142857142857143,1.2121212121212122,30.89,35.68,-1.62
0-1,79,King' s Pawn Opening,black,8,8,True,True,10,16,0.9137931034482758,0.4230769230769231,27.75,31.512820512820515,0.09
0-1,41,King' s Pawn Opening,black,16,16,True,True,20,18,1.4117647058823528,0.9729729729729728,28.1625,36.0875,0.57
1-0,59,English Opening,white,12,12,True,True,16,6,0.8709677419354839,0.43859649122807026,35.504273504273506,28.846153846153847,-0.77
0-1,70,Dunst Opening,black,20,20,False,True,4,38,1.3,0.8297872340425531,23.22463768115942,29.181159420289855,0.65
1-0,80,Dunst Opening,white,5,5,True,True,48,14,0.9259259259259259,0.6060606060606061,30.78616352201258,20.22641509433962,-0.12
0-1,64,Queen's Pawn Opening,black,6,6,True,True,6,14,1.0441176470588236,0.8695652173913042,28.325396825396826,33.32539682539682,0.03
0-1,45,Bird's Opening,black,18,18,False,False,4,34,1.125,1.56,26.329545454545453,37.42045454545455,0.35
1-0,37,Benko's Opening,white,10,10,True,True,12,4,1.5999999999999999,1.2380952380952381,33.61643835616438,33.38356164383562,-0.2
1-0,31,French Defense,white,5,5,True,True,12,4,0.3333333333333333,1.2,35.65573770491803,32.22950819672131,-0.32
0-1,89,Larsen's Opening,black,11,11,False,True,16,18,0.8666666666666667,0.8352941176470587,23.642045454545453,30.892045454545453,-0.76
1-0,56,Larsen's Opening,white,10,10,False,True,24,18,0.9130434782608695,1.2,37.78378378378378,32.67567567567568,-0.58
1-0,37,Reti Opening,white,9,9,True,False,18,22,0.3,0.9393939393939393,38.0958904109589,33.78082191780822,0.82
0-1,40,Larsen's Opening,black,15,15,True,True,10,10,0.7631578947368421,0.7631578947368421,35.51282051282051,35.94871794871795,-1.66
0-1,57,Nimzo-Indian Defense,black,6,6,True,True,30,26,0.3793103448275862,0.3157894736842105,21.375,32.88392857142857,-3.38
1-0,47,English Opening,white,8,8,True,False,12,18,0.6545454545454547,1.4,34.75268817204301,23.21505376344086,0.15
0-1,53,English Opening,black,13,13,False,True,10,26,1.9545454545454548,0.5957446808510639,24.548076923076923,31.557692307692307,0.47
1-0,65,English Opening,white,8,8,True,True,36,2,1.526315789473684,0.7058823529411765,27.410852713178294,22.286821705426355,-0.79
1/2-1/2,107,Reti Opening,draw,20,20,True,False,30,24,0.3103448275862069,1.842105263157895,17.004694835680752,23.666666666666668,-0.15
1-0,125,King' s Pawn Opening,white,13,13,True,False,22,6,0.6956521739130435,0.6956521739130435,25.02409638554217,18.53413654618474,0.65
1/2-1/2,66,Bird's Opening,draw,20,20,True,True,24,20,0.5609756097560976,2.3157894736842106,30.592307692307692,29.33076923076923,-1.35
0-1,78,Queen's Pawn Opening,black,8,8,True,True,20,42,1.105263157894737,2.6551724137931036,32.688311688311686,34.73376623376623,-0.2
0-1,63,Nimzo-Larsen Attack,black,20,20,True,True,12,16,0.9714285714285714,0.6470588235294118,25.693548387096776,30.620967741935484,-0.42
1-0,99,Benko's Opening,white,18,18,False,False,18,32,1.280701754385965,0.5882352941176471,30.873096446700508,24.482233502538072,0.05
1-0,43,Bird's Opening,white,14,14,True,True,18,8,0.9111111111111111,0.6862745098039216,34.54117647058823,30.729411764705883,1.39
1-0,50,King' s Pawn Opening,white,13,13,False,True,18,16,0.7333333333333333,1.434782608695652,38.282828282828284,32.62626262626262,0.98
1-0,42,Larsen's Opening,white,9,9,True,False,14,2,0.39285714285714285,1.0,38.10843373493976,29.14457831325301,-1.19
1-0,40,Dunst Opening,white,12,12,True,True,2,2,0.6111111111111112,0.6346153846153847,39.075949367088604,34.734177215189874,1.25
1-0,40,Queen's Pawn Opening,white,18,18,True,True,28,12,1.4090909090909092,1.2592592592592593,36.78481012658228,30.468354430379748,1.64
0-1,85,Bird's Opening,black,5,5,True,False,10,20,1.2745098039215688,0.6818181818181818,23.571428571428573,32.410714285714285,-0.71
0-1,50,Benko's Opening,black,19,19,True,True,4,12,0.9354838709677419,1.0344827586206897,30.918367346938776,33.642857142857146,0.42
1-0,115,Dunst Opening,white,18,18,False,True,26,18,2.189189189189189,1.2499999999999998,27.04366812227074,20.397379912663755,-1.19
0-1,36,Dunst Opening,black,8,8,True,True,22,4,0.4375,1.3214285714285714,35.77142857142857,34.18571428571428,0.42
1-0,99,Benko's Opening,white,11,11,True,True,26,10,0.4736842105263157,1.0357142857142856,34.38578680203046,21.04568527918782,-0.28
0-1,58,Larsen's Opening,black,11,11,False,True,10,46,3.0625,3.923076923076923,32.23684210526316,34.01754385964912,0.27
1/2-1/2,183,King' s Pawn Opening,draw,18,18,False,True,20,30,1.032258064516129,0.3333333333333333,23.832417582417584,19.766483516483518,1.28
1-0,68,Bird's Opening,white,15,15,False,False,30,24,2.0,1.1290322580645162,31.266666666666666,26.496296296296297,-1.2
0-1,71,Reti Opening,black,15,15,True,True,4,36,0.6829268292682926,0.3050847457627119,23.821428571428573,31.985714285714284,0.55
1-0,63,Queen's Pawn Opening,white,18,18,True,True,22,28,2.4,1.846153846153846,31.992,27.272,0.75
0-1,51,Queen's Pawn Opening,black,19,19,True,True,34,12,1.5238095238095237,0.9130434782608695,29.98,35.53,-0.44
1/2-1/2,132,Benko's Opening,draw,11,11,True,True,4,28,1.6666666666666667,0.4418604651162791,13.988593155893536,22.661596958174904,0.18
