result,total_moves,opening,winner,white_skill,black_skill,white_castled,black_castled,white_sacrifices,black_sacrifices,w_knight_to_bishop,b_knight_to_bishop,w_center_control,b_center_control,white_piece_activity,black_piece_activity,eval_after_move_15
0-1,53,Dunst Opening,black,13,13,False,True,12,42,0.5217391304347826,0.7906976744186046,1.6923076923076923,2.7788461538461537,27.48076923076923,37.10576923076923,-2.55
0-1,65,King' s Pawn Opening,black,5,5,True,True,10,28,1.0731707317073171,0.4528301886792453,1.8515625,2.7109375,27.4921875,34.390625,0.47
1-0,34,Benko's Opening,white,12,12,True,True,8,12,0.2391304347826087,1.35,2.4776119402985075,3.1791044776119404,34.014925373134325,35.43283582089552,-0.23
0-1,42,Alekhine's Defense,black,14,14,True,True,14,14,1.5555555555555556,1.303030303030303,3.0853658536585367,2.1463414634146343,35.86585365853659,33.451219512195124,0.66
0-1,64,Veresov Attack,black,9,9,False,False,22,18,0.7647058823529412,0.3125,2.3492063492063493,2.9365079365079363,28.444444444444443,32.023809523809526,-0.06
1-0,53,"English, Agincourt Defense",white,12,12,True,True,26,10,1.48,0.5957446808510639,2.8476190476190477,2.4,33.78095238095238,29.228571428571428,-0.46
0-1,69,Benko's Opening,black,19,19,True,True,14,12,0.890625,0.796875,2.801470588235294,2.161764705882353,33.38970588235294,34.10294117647059,0.44
1-0,58,Dunst Opening,white,6,6,True,True,12,8,0.4210526315789474,0.5161290322580645,2.356521739130435,1.6869565217391305,32.00869565217391,22.217391304347824,-0.92
0-1,79,Queen's Pawn Opening,black,8,8,True,False,12,18,0.8333333333333333,0.6710526315789473,2.391025641025641,1.7371794871794872,27.064102564102566,28.134615384615383,0.46
1-0,56,Dunst Opening,white,13,13,True,True,12,26,0.29508196721311475,0.39344262295081966,3.189189189189189,2.945945945945946,34.68468468468468,38.927927927927925,-1.71
0-1,81,Larsen's Opening,black,15,15,True,True,6,34,1.542857142857143,1.2765957446808511,2.24375,2.19375,21.675,35.6375,-0.47
1-0,43,English Opening,white,6,6,False,True,12,14,0.7234042553191489,1.0588235294117647,2.9411764705882355,3.3411764705882354,36.45882352941177,29.95294117647059,2.16
1-0,232,Benko's Opening,white,20,20,False,False,18,6,0.18292682926829268,0.18333333333333335,1.490280777537797,1.5399568034557236,21.457883369330453,14.937365010799136,0.89
1-0,55,Benko's Opening,white,13,13,True,False,42,6,0.9318181818181818,0.5384615384615385,2.697247706422018,2.2018348623853212,34.92660550458716,29.853211009174313,0.0
0-1,57,Dunst Opening,black,18,18,True,True,8,6,0.8048780487804879,2.111111111111111,2.7232142857142856,3.1875,26.321428571428573,32.785714285714285,1.23
1/2-1/2,155,Indian Defense,draw,6,6,True,True,30,20,2.4166666666666665,0.2191780821917808,2.1266233766233764,1.775974025974026,25.51298701298701,21.207792207792206,1.47
0-1,59,Queen's Pawn Opening,black,12,12,True,True,14,14,1.6206896551724137,2.5999999999999996,1.9310344827586208,2.4741379310344827,26.870689655172413,30.70689655172414,0.39
1-0,46,Benko's Opening,white,16,16,False,True,40,26,0.2727272727272727,1.1111111111111112,2.340659340659341,2.1868131868131866,30.274725274725274,29.142857142857142,-0.99
0-1,51,Dunst Opening,black,15,15,False,True,12,8,0.22727272727272727,1.512820512820513,2.37,2.96,26.64,35.32,-4.1
1-0,58,Dunst Opening,white,12,12,True,True,32,34,0.4528301886792453,0.8,2.9217391304347826,2.765217391304348,36.23478260869565,32.56521739130435,-4.05
0-1,111,Reti Opening,black,12,12,True,False,32,24,0.7142857142857143,0.8139534883720931,1.509090909090909,2.390909090909091,22.04090909090909,26.972727272727273,2.08
0-1,81,Bird's Opening,black,20,20,True,True,16,18,1.153846153846154,1.7307692307692308,1.83125,2.425,20.59375,26.5125,-1.15
0-1,53,Reti Opening,black,18,18,True,True,24,20,0.41025641025641024,0.40476190476190477,2.625,3.3365384615384617,32.58653846153846,37.19230769230769,0.98
1-0,49,Bird's Opening,white,18,18,True,False,8,20,1.142857142857143,0.65625,2.515463917525773,2.1237113402061856,32.8041237113402,31.1340206185567,-0.31
