result,total_moves,opening,winner,white_skill,black_skill,white_castled,black_castled,opposite_side_castle,white_sacrifices,black_sacrifices,w_knight_to_bishop,b_knight_to_bishop,w_center_control,b_center_control,white_piece_activity,black_piece_activity,eval_after_move_15
1/2-1/2,150,Benko's Opening,draw,8,8,True,False,False,16,10,2.0416666666666665,5.346153846153846,1.160535117056856,1.5719063545150502,15.123745819397993,23.963210702341136,-1.57
1-0,40,Benko's Opening,white,11,11,True,True,False,20,10,0.9142857142857144,0.6585365853658536,3.4050632911392404,3.316455696202532,36.9746835443038,31.632911392405063,0.02
0-1,93,Reti Opening,black,20,20,True,True,False,16,22,0.5813953488372092,1.7179487179487178,1.6576086956521738,2.907608695652174,24.39130434782609,27.61413043478261,0.2
0-1,71,Reti Opening,black,14,14,False,False,False,12,12,1.28,0.7575757575757576,2.942857142857143,2.085714285714286,25.292857142857144,32.871428571428574,0.71
0-1,69,Benko's Opening,black,6,6,True,True,False,22,26,1.0,1.5,1.7426470588235294,2.389705882352941,23.323529411764707,29.654411764705884,0.14
1-0,70,Bird's Opening,white,12,12,True,True,False,4,8,0.6382978723404256,0.3932584269662921,3.064748201438849,2.172661870503597,38.02877697841727,28.48201438848921,-0.57
1-0,56,Queen's Pawn Opening,white,19,19,False,True,False,4,6,0.9666666666666666,2.6875,2.4504504504504503,1.837837837837838,29.74774774774775,24.945945945945947,-0.01
0-1,105,Queen's Pawn Opening,black,19,19,False,False,False,18,16,0.7671232876712328,1.793103448275862,1.5096153846153846,2.139423076923077,22.004807692307693,25.79326923076923,1.16
1-0,81,Reti Opening,white,16,16,False,True,False,20,8,0.8541666666666667,0.728813559322034,1.720496894409938,2.571428571428572,29.18633540372671,23.99378881987577,2.32
1/2-1/2,98,King' s Pawn Opening,draw,7,7,True,False,False,12,10,0.4117647058823529,1.328125,1.9690721649484535,2.2577319587628866,26.412371134020617,25.73711340206185,0.62
1/2-1/2,172,Indian Game,draw,19,19,True,True,True,16,12,0.5581395348837209,1.8333333333333333,1.868421052631579,0.9093567251461988,23.55555555555556,13.780701754385966,1.0
0-1,36,Queen's Pawn Opening,black,20,20,True,False,False,30,0,1.9565217391304348,0.717948717948718,3.057142857142857,2.4,36.25714285714286,34.885714285714286,-0.26
0-1,38,Queen's Pawn Opening,black,15,15,True,False,False,2,28,1.5652173913043477,1.1785714285714286,3.0945945945945947,2.472972972972973,34.83783783783784,34.74324324324324,0.88
1-0,73,Benko's Opening,white,18,18,True,True,False,20,6,0.4647887323943661,0.4647887323943661,2.924137931034483,2.7241379310344827,34.07586206896552,34.241379310344826,0.59
0-1,17,King' s Pawn Opening,black,19,19,True,False,False,6,8,1.0,0.9545454545454546,3.3125,2.25,36.53125,32.21875,0.9
0-1,90,Alekhine's Defense,black,12,12,True,True,False,24,20,0.8070175438596492,1.7105263157894737,1.696629213483146,2.365168539325843,27.685393258426966,26.859550561797757,-0.75
0-1,50,Benko's Opening,black,13,13,True,True,False,10,6,0.5660377358490566,1.5333333333333334,2.5510204081632653,2.5510204081632653,30.46938775510204,37.71428571428572,-0.8
0-1,90,Dunst Opening,black,14,14,True,False,False,10,30,2.5,0.2435897435897435,2.157303370786517,2.3876404494382024,26.15730337078652,31.94943820224719,-2.37
0-1,48,Dunst Opening,black,20,20,True,True,False,8,22,1.8888888888888888,0.9210526315789472,2.2872340425531914,2.723404255319149,31.0531914893617,37.52127659574468,-0.37
0-1,56,Open Sicilian,black,7,7,True,False,False,12,20,0.7894736842105264,1.25,1.709090909090909,1.9,25.045454545454547,30.92727272727273,1.25
1-0,51,Benko's Opening,white,8,8,True,True,False,16,10,0.6274509803921569,0.861111111111111,2.8217821782178216,2.1584158415841586,34.78217821782178,27.27722772277228,0.32
1-0,34,Benko's Opening,white,15,15,True,False,False,14,8,0.85,1.2,2.08955223880597,2.5074626865671643,30.98507462686567,29.31343283582089,-0.37
1-0,76,Reti Opening,white,7,7,True,True,False,30,14,3.3793103448275863,1.4375,2.920529801324504,2.5695364238410594,33.70860927152318,31.72185430463576,-0.27
0-1,65,Larsen's Opening,black,10,10,False,True,False,6,22,0.9090909090909092,0.6451612903225806,2.21875,3.171875,26.28125,32.0703125,2.27
0-1,30,Dunst Opening,black,9,9,True,False,False,6,4,1.1818181818181817,0.6756756756756757,3.896551724137931,2.9482758620689653,36.32758620689656,34.96551724137931,-0.75
0-1,41,Dunst Opening,black,16,16,True,True,False,18,20,1.4444444444444444,0.7250000000000001,2.775,3.2,32.725,35.6375,1.39
1-0,53,Dunst Opening,white,11,11,True,True,False,28,2,0.8,0.6363636363636364,3.1333333333333333,2.142857142857143,34.91428571428571,27.38095238095238,0.32
0-1,91,Larsen's Opening,black,8,8,False,True,False,10,14,1.5714285714285714,3.0,1.55,2.2333333333333334,19.566666666666663,29.97222222222222,-2.58
1-0,62,Reti Opening,white,14,14,True,True,False,16,10,0.8108108108108107,1.4615384615384617,2.154471544715447,1.983739837398374,33.796747967479675,27.463414634146343,0.27
0-1,70,Larsen's Opening,black,18,18,False,True,False,16,20,0.8333333333333333,2.0,1.5434782608695652,2.7028985507246377,22.297101449275363,31.27536231884058,-0.79
1/2-1/2,172,Bird's Opening,draw,18,18,False,False,False,10,30,4.678571428571429,0.1650485436893203,2.1374269005847952,1.8157894736842104,24.97953216374269,17.64327485380117,2.0
1-0,102,Reti Opening,white,14,14,True,True,False,22,8,1.7894736842105263,1.4482758620689655,2.3891625615763545,0.9655172413793104,27.96551724137931,20.211822660098523,-0.1
1-0,49,"English, Mikenas-Carls Variation",white,17,17,False,False,False,34,22,0.8064516129032258,1.0555555555555558,2.6391752577319587,2.4329896907216493,35.30927835051546,29.010309278350515,-1.11
0-1,71,Benko's Opening,black,18,18,True,True,False,10,0,0.25,0.4385964912280701,2.0,2.257142857142857,26.792857142857144,25.978571428571428,0.22
1-0,66,Queen's Pawn Opening,white,18,18,True,True,False,14,12,0.5454545454545454,0.8620689655172415,2.839694656488549,2.5801526717557253,35.603053435114504,30.73282442748092,0.05
